cycle,gender,race_ethnicity,prevalence_pct,n_unweighted,n_cases,weighted_pop,outcome,midyear
2013-2014,Male,Non-Hispanic Black,2.7865243289409998,577.0,18.0,1064336.8323257272,Heart Failure,2013.5
2013-2014,Male,Non-Hispanic White,2.9227849111933697,1175.0,51.0,6606346.937927091,Heart Failure,2013.5
2013-2014,Male,Other Hispanic,0.9035236168472633,219.0,5.0,533098.7341122727,Heart Failure,2013.5
2013-2014,Male,Other/Multiracial,0.0,84.0,1.0,297862.69543872727,Heart Failure,2013.5
2015-2016,Female,Mexican American,0.6493120767003628,536.0,6.0,950157.716062,Heart Failure,2015.5
2015-2016,Female,Non-Hispanic Asian,0.8330171447660285,351.0,3.0,659140.1045256364,Heart Failure,2015.5
2015-2016,Female,Non-Hispanic Black,3.8239176927804004,635.0,28.0,1346574.5184635455,Heart Failure,2015.5
2015-2016,Female,Non-Hispanic White,2.1422967501129646,916.0,29.0,7012860.245875908,Heart Failure,2015.5
2015-2016,Female,Other Hispanic,2.6435565687980187,433.0,19.0,693600.9783891819,Heart Failure,2015.5
2015-2016,Female,Other/Multiracial,2.808611606781859,98.0,4.0,401074.5118134545,Heart Failure,2015.5
2015-2016,Male,Mexican American,2.1938889335388234,456.0,18.0,937360.3069285455,Heart Failure,2015.5
2015-2016,Male,Non-Hispanic Asian,1.897408239071914,338.0,9.0,578250.5053699091,Heart Failure,2015.5
2015-2016,Male,Non-Hispanic Black,3.8539030811383057,563.0,29.0,1074082.4539471818,Heart Failure,2015.5
2015-2016,Male,Non-Hispanic White,2.526971525264171,942.0,50.0,6560737.092647091,Heart Failure,2015.5
2015-2016,Male,Other Hispanic,2.312787532606452,333.0,14.0,670486.539508,Heart Failure,2015.5
2015-2016,Male,Other/Multiracial,3.8916475239538593,107.0,5.0,389786.7136965454,Heart Failure,2015.5
2017-2018,Female,Mexican American,1.6443652115028704,379.0,10.0,913015.2783589857,Heart Failure,2017.5
2017-2018,Female,Non-Hispanic Asian,0.5021731750889743,436.0,3.0,696246.0766227995,Heart Failure,2017.5
2017-2018,Female,Non-Hispanic Black,2.992625433403834,681.0,26.0,1360210.4926062943,Heart Failure,2017.5
2017-2018,Female,Non-Hispanic White,1.8040827770367742,960.0,34.0,7012096.125224063,Heart Failure,2017.5
2017-2018,Female,Other Hispanic,0.5836801381576535,283.0,3.0,813341.9810484387,Heart Failure,2017.5
2017-2018,Female,Other/Multiracial,2.282781955320818,122.0,5.0,449688.3845986902,Heart Failure,2017.5
2017-2018,Male,Mexican American,0.2647205297828943,352.0,3.0,988392.316646507,Heart Failure,2017.5
2017-2018,Male,Non-Hispanic Asian,1.630543912427447,371.0,6.0,576770.9647994795,Heart Failure,2017.5
2017-2018,Male,Non-Hispanic Black,3.0939151464299566,616.0,30.0,1123278.20806867,Heart Failure,2017.5
2017-2018,Male,Non-Hispanic White,3.5032500849267243,969.0,65.0,6484442.479642956,Heart Failure,2017.5
2017-2018,Male,Other Hispanic,2.4895705379122424,232.0,6.0,697100.4253348182,Heart Failure,2017.5
2017-2018,Male,Other/Multiracial,2.600843048623985,151.0,10.0,557971.0224519926,Heart Failure,2017.5
2021-2022,Female,Mexican American,2.0551041334587117,282.0,4.0,754509.2337528182,Heart Failure,2021.5
2021-2022,Female,Non-Hispanic Asian,0.7344993229708756,237.0,4.0,734438.8624545455,Heart Failure,2021.5
2021-2022,Female,Non-Hispanic Black,3.6804920357698685,568.0,28.0,1366210.0407287274,Heart Failure,2021.5
2021-2022,Female,Non-Hispanic White,2.786299056611924,2523.0,97.0,6832836.102814,Heart Failure,2021.5
2021-2022,Female,Other Hispanic,1.9199033745334786,436.0,18.0,1117837.7878349999,Heart Failure,2021.5
2021-2022,Female,Other/Multiracial,1.6365348955922971,268.0,7.0,666805.3104836365,Heart Failure,2021.5
2021-2022,Male,Mexican American,0.379736614814042,262.0,2.0,831690.3238317273,Heart Failure,2021.5
2021-2022,Male,Non-Hispanic Asian,1.316571190772297,184.0,8.0,625225.4636315454,Heart Failure,2021.5
2021-2022,Male,Non-Hispanic Black,3.776139815796399,425.0,21.0,1088625.659813182,Heart Failure,2021.5
2021-2022,Male,Non-Hispanic White,3.856476362320524,2022.0,117.0,6534774.545475,Heart Failure,2021.5
2021-2022,Male,Other Hispanic,2.958581895791962,341.0,20.0,1010995.2173185456,Heart Failure,2021.5
2021-2022,Male,Other/Multiracial,6.326465283098259,243.0,17.0,691799.9487632727,Heart Failure,2021.5
1999-2000,Female,Mexican American,0.6602483926539611,689.0,13.0,542428.6822818987,Heart Attack (MI),1999.5
1999-2000,Female,Non-Hispanic Black,1.0699408476774965,498.0,12.0,1042367.4547436084,Heart Attack (MI),1999.5
1999-2000,Female,Non-Hispanic White,2.396469765442116,1151.0,40.0,6330458.728320744,Heart Attack (MI),1999.5
1999-2000,Female,Other Hispanic,1.8057552583584238,178.0,4.0,796154.5241653319,Heart Attack (MI),1999.5
1999-2000,Male,Mexican American,1.4970746514187048,590.0,24.0,565008.3177272717,Heart Attack (MI),1999.5
1999-2000,Male,Non-Hispanic Black,3.1750656588590562,409.0,21.0,843729.5734456518,Heart Attack (MI),1999.5
1999-2000,Male,Non-Hispanic White,5.692832454610156,1056.0,93.0,5914667.38815796,Heart Attack (MI),1999.5
1999-2000,Male,Other Hispanic,2.1154907341288753,130.0,5.0,612204.8927695141,Heart Attack (MI),1999.5
2001-2002,Female,Mexican American,1.037071721601942,573.0,10.0,620723.1777533636,Heart Attack (MI),2001.5
2001-2002,Female,Non-Hispanic Black,3.0242998326908936,535.0,22.0,1113044.8563709091,Heart Attack (MI),2001.5
2001-2002,Female,Non-Hispanic White,2.3208185527102745,1519.0,61.0,6653236.424902637,Heart Attack (MI),2001.5
2001-2002,Female,Other Hispanic,0.3415607604281422,128.0,1.0,608315.3222963637,Heart Attack (MI),2001.5
2001-2002,Male,Mexican American,1.651332958052275,538.0,21.0,681308.3767682726,Heart Attack (MI),2001.5
2001-2002,Male,Non-Hispanic Black,3.8186513417623456,476.0,24.0,870267.9191237272,Heart Attack (MI),2001.5
2001-2002,Male,Non-Hispanic White,4.416395635238571,1332.0,112.0,6298688.323443,Heart Attack (MI),2001.5
2001-2002,Male,Other Hispanic,1.6094437017034795,109.0,4.0,476802.9951967274,Heart Attack (MI),2001.5
2003-2004,Female,Mexican American,1.7808883677332688,501.0,16.0,682636.6943084546,Heart Attack (MI),2003.5
2003-2004,Female,Non-Hispanic Black,3.9375226970086827,518.0,22.0,1173418.6426360907,Heart Attack (MI),2003.5
2003-2004,Female,Non-Hispanic White,3.1341645921460253,1404.0,63.0,6992464.950567545,Heart Attack (MI),2003.5
2003-2004,Female,Other Hispanic,1.362442301375194,81.0,1.0,358680.4024237272,Heart Attack (MI),2003.5
2003-2004,Male,Mexican American,1.030568515987459,481.0,16.0,762862.8740916364,Heart Attack (MI),2003.5
2003-2004,Male,Non-Hispanic Black,2.131905946189752,476.0,13.0,920647.6276432727,Heart Attack (MI),2003.5
2003-2004,Male,Non-Hispanic White,6.177202893210799,1278.0,131.0,6440980.130489455,Heart Attack (MI),2003.5
2003-2004,Male,Other Hispanic,1.777405019961735,71.0,3.0,311767.4187901818,Heart Attack (MI),2003.5
2005-2006,Female,Mexican American,0.7010913466364881,528.0,5.0,719829.4074896364,Heart Attack (MI),2005.5
2005-2006,Female,Non-Hispanic Black,1.8604971540714692,580.0,13.0,1205392.1963724545,Heart Attack (MI),2005.5
2005-2006,Female,Non-Hispanic White,3.357454188861219,1277.0,47.0,7053153.270469545,Heart Attack (MI),2005.5
2005-2006,Female,Other Hispanic,1.2926819127242275,79.0,1.0,339574.90510590904,Heart Attack (MI),2005.5
2005-2006,Male,Mexican American,1.271720114263539,474.0,11.0,800935.142942091,Heart Attack (MI),2005.5
2005-2006,Male,Non-Hispanic Black,4.075907190412675,541.0,31.0,983241.8888485455,Heart Attack (MI),2005.5
2005-2006,Male,Non-Hispanic White,5.144076475660741,1214.0,100.0,6652989.640019,Heart Attack (MI),2005.5
2005-2006,Male,Other Hispanic,1.7375679079983348,75.0,1.0,303543.31320827274,Heart Attack (MI),2005.5
2007-2008,Female,Mexican American,0.5585615639973243,532.0,7.0,751961.6558608182,Heart Attack (MI),2007.5
2007-2008,Female,Non-Hispanic Black,2.67916485948424,639.0,23.0,1225480.4776044546,Heart Attack (MI),2007.5
2007-2008,Female,Non-Hispanic White,2.3280161831469153,1363.0,54.0,7061154.944478819,Heart Attack (MI),2007.5
